school,file,housing_concern_count,total_students,percent_housing_concern
Atlanta Classical Academy,761 - Atlanta Classical Academy.xls,36,748,4.81283422459893
Atlanta Neighborhood Charter - Middle,761 - Atlanta Neighborhood Charter - Middle.xls,45,504,8.928571428571429
B.E.S.T Academy,761 - B.E.S.T Academy.xls,21,282,7.446808510638298
Benjamin E. Mays High School,761 - Benjamin E. Mays High School.xls,42,885,4.745762711864407
Booker T. Washington High School,761 - Booker T. Washington High School.xls,61,793,7.6923076923076925
Carver High School,761 - Carver High School.xls,17,455,3.7362637362637363
Carver High School Early College,761 - Carver High School Early College.xls,23,503,4.572564612326044
Centennial Place Academy (Charter),761 - Centennial Place Academy _Charter_.xls,21,202,10.396039603960396
Coretta Scott King Young Women's Leadership Academy,761 - Coretta Scott King Young Women_s Leadership Academy.xls,33,346,9.53757225433526
Crawford Long Middle School,761 - Crawford Long Middle School.xls,31,608,5.098684210526316
D. M. Therrell High School,761 - D. M. Therrell High School.xls,60,1198,5.008347245409015
David T Howard Middle School,761 - David T Howard Middle School.xls,49,909,5.39053905390539
Frederick Douglass High School,761 - Frederick Douglass High School.xls,48,971,4.94335736354274
Hank Aaron New Beginnings Academy,761 - Hank Aaron New Beginnings Academy.xls,10,191,5.2356020942408374
Herman J. Russell West End Academy,761 - Herman J. Russell West End Academy.xls,33,379,8.70712401055409
Hillside Conant School,761 - Hillside Conant School.xls,9,83,10.843373493975903
Jean Childs Young Middle School,761 - Jean Childs Young Middle School.xls,29,509,5.697445972495088
John Lewis Invictus Academy,761 - John Lewis Invictus Academy.xls,38,649,5.855161787365177
Judson Price Middle School,761 - Judson Price Middle School.xls,24,227,10.572687224669604
KIPP Soul Academy,761 - KIPP Soul Academy.xls,22,234,9.401709401709402
KIPP VISION Charter School,761 - KIPP VISION Charter School.xls,14,238,5.88235294117647
KIPP WAYS Academy Charter School,761 - KIPP WAYS Academy Charter School.xls,17,297,5.723905723905724
Kindezi Old 4th Ward,761 - Kindezi Old 4th Ward.xls,4,93,4.301075268817205
Kipp Atlanta Collegiate Charter School,761 - Kipp Atlanta Collegiate Charter School.xls,42,645,6.511627906976744
Kipp Strive Charter School,761 - Kipp Strive Charter School.xls,14,232,6.0344827586206895
Martin L. King Jr. Middle School,761 - Martin L. King Jr. Middle School.xls,50,877,5.701254275940707
Maynard Jackson High School,761 - Maynard Jackson High School.xls,77,1223,6.295993458708095
Michael R. Hollis Innovation Academy,761 - Michael R. Hollis Innovation Academy.xls,20,172,11.627906976744185
Midtown High School,761 - Midtown High School.xls,64,1424,4.49438202247191
North Atlanta High School,761 - North Atlanta High School.xls,82,1947,4.21160760143811
Ralph Bunche Middle School,761 - Ralph Bunche Middle School.xls,35,791,4.424778761061947
South Atlanta High School,761 - South Atlanta High School.xls,56,923,6.067172264355363
Sylvan Hills Middle School,761 - Sylvan Hills Middle School.xls,24,397,6.045340050377834
The Kindezi School,761 - The Kindezi School.xls,12,115,10.434782608695652
Wesley International Academy Charter,761 - Wesley International Academy Charter.xls,15,275,5.454545454545454
Westside Atlanta Charter School,761 - Westside Atlanta Charter School.xls,10,115,8.695652173913043
Willis A. Sutton Middle School,761 - Willis A. Sutton Middle School.xls,70,1363,5.135730007336757
Woodson Park Academy School,761 - Woodson Park Academy School.xls,15,207,7.246376811594203
